# ICM42688 vertical acceleration GUI log
# vertical_accel_mps2=(accel_z_g-1.0)*9.80665
# start_unix=1778752813
host_time_iso,elapsed_s,imu_time_us,imu_sample,imu_temp_c,accel_x_g,accel_y_g,accel_z_g,vertical_accel_g,vertical_accel_mps2,gyro_x_dps,gyro_y_dps,gyro_z_dps,imu_failed_reads
2026-05-14T18:00:14.064,0.823,21360210,982,25.589,-0.00049,-0.11035,-0.97021,-1.970210,-19.321160,-0.061,0.183,-0.183,1
2026-05-14T18:00:14.087,0.846,21380203,983,25.574,-0.00049,-0.10986,-0.96729,-1.967290,-19.292524,-0.122,0.183,-0.183,1
2026-05-14T18:00:14.099,0.858,21394932,984,25.513,0.00000,-0.10986,-0.96973,-1.969730,-19.316453,-0.061,0.183,-0.122,1
2026-05-14T18:00:14.122,0.881,21420210,985,25.528,-0.00098,-0.11084,-0.97119,-1.971190,-19.330770,-0.061,0.183,-0.183,1
2026-05-14T18:00:14.145,0.905,21440202,986,25.574,0.00000,-0.11035,-0.97070,-1.970700,-19.325965,-0.061,0.183,-0.122,1
2026-05-14T18:00:14.156,0.915,21454956,987,25.543,0.00049,-0.10986,-0.96875,-1.968750,-19.306842,-0.061,0.183,-0.122,1
2026-05-14T18:00:14.191,0.950,21480218,988,25.559,-0.00098,-0.11084,-0.97119,-1.971190,-19.330770,-0.122,0.183,-0.183,1
2026-05-14T18:00:14.201,0.960,21500227,989,25.559,-0.00049,-0.11035,-0.97021,-1.970210,-19.321160,-0.061,0.183,-0.183,1
2026-05-14T18:00:14.225,0.985,21515966,990,25.559,-0.00049,-0.10889,-0.97070,-1.970700,-19.325965,-0.061,0.183,-0.183,1
2026-05-14T18:00:14.249,1.008,21541219,991,25.543,-0.00146,-0.10986,-0.96973,-1.969730,-19.316453,-0.061,0.183,-0.183,1
2026-05-14T18:00:14.262,1.021,21561230,992,25.543,0.00000,-0.11084,-0.96729,-1.967290,-19.292524,-0.061,0.183,-0.122,1
2026-05-14T18:00:14.286,1.045,21576953,993,25.528,-0.00098,-0.11523,-0.99268,-1.992680,-19.541515,-0.122,0.183,-0.183,1
2026-05-14T18:00:14.311,1.071,21602218,994,25.559,0.00244,-0.11230,-0.98437,-1.984370,-19.460022,-0.061,0.244,-0.183,1
2026-05-14T18:00:14.324,1.083,21622210,995,25.574,-0.00293,-0.10986,-0.97217,-1.972170,-19.340381,-0.122,0.183,-0.183,1
2026-05-14T18:00:14.347,1.107,21636945,996,25.574,0.00195,-0.10938,-0.96729,-1.967290,-19.292524,-0.122,0.122,-0.183,1
2026-05-14T18:00:14.416,1.175,21662219,997,25.543,-0.00098,-0.11182,-0.97363,-1.973630,-19.354699,-0.061,0.122,-0.244,1
2026-05-14T18:00:14.416,1.176,21682229,998,25.543,0.00000,-0.11182,-0.96973,-1.969730,-19.316453,-0.061,0.183,-0.183,1
2026-05-14T18:00:14.417,1.176,21697952,999,25.528,0.00098,-0.11035,-0.96680,-1.966800,-19.287719,-0.122,0.122,-0.183,1
2026-05-14T18:00:14.428,1.187,21723209,1000,25.574,-0.00098,-0.10938,-0.97021,-1.970210,-19.321160,-0.061,0.183,-0.122,1
2026-05-14T18:00:14.451,1.210,21743228,1001,25.543,0.00000,-0.10889,-0.97119,-1.971190,-19.330770,-0.061,0.183,-0.122,1
2026-05-14T18:00:14.464,1.223,21757956,1002,25.543,-0.00195,-0.11133,-0.97168,-1.971680,-19.335576,-0.122,0.183,-0.183,1
2026-05-14T18:00:14.489,1.248,21784235,1003,25.528,0.00049,-0.10986,-0.97021,-1.970210,-19.321160,-0.061,0.122,-0.122,1
2026-05-14T18:00:14.512,1.271,21804217,1004,25.543,0.00000,-0.11084,-0.97119,-1.971190,-19.330770,-0.061,0.183,-0.122,1
2026-05-14T18:00:14.525,1.284,21819973,1005,25.574,0.00049,-0.11133,-0.97070,-1.970700,-19.325965,-0.061,0.183,-0.183,1
2026-05-14T18:00:14.549,1.308,21845232,1006,25.543,-0.00049,-0.11035,-0.96973,-1.969730,-19.316453,-0.061,0.122,-0.122,1
2026-05-14T18:00:14.574,1.333,21865228,1007,25.559,-0.00098,-0.10986,-0.96973,-1.969730,-19.316453,-0.122,0.183,-0.122,1
2026-05-14T18:00:14.586,1.346,21879969,1008,25.559,0.00098,-0.11133,-0.96973,-1.969730,-19.316453,-0.061,0.183,-0.122,1
2026-05-14T18:00:14.609,1.368,21906236,1009,25.543,0.00000,-0.11133,-0.96924,-1.969240,-19.311647,-0.061,0.183,-0.122,1
2026-05-14T18:00:14.634,1.393,21926217,1010,25.574,0.00000,-0.11035,-0.96973,-1.969730,-19.316453,-0.061,0.183,-0.183,1
2026-05-14T18:00:14.647,1.406,21941960,1011,25.574,0.00000,-0.11035,-0.97070,-1.970700,-19.325965,-0.061,0.183,-0.183,1
2026-05-14T18:00:14.670,1.429,21967212,1012,25.589,-0.00098,-0.10986,-0.96875,-1.968750,-19.306842,-0.122,0.122,-0.061,1
2026-05-14T18:00:14.695,1.454,21987228,1013,25.543,0.00049,-0.10938,-0.96729,-1.967290,-19.292524,-0.122,0.183,-0.183,1
2026-05-14T18:00:14.707,1.467,22001969,1014,25.543,0.00098,-0.10938,-0.96680,-1.966800,-19.287719,-0.061,0.122,-0.183,1
2026-05-14T18:00:14.732,1.492,22028227,1015,25.543,-0.00195,-0.11035,-0.96533,-1.965330,-19.273303,-0.061,0.183,-0.183,1
2026-05-14T18:00:14.757,1.517,22048217,1016,25.559,0.00000,-0.10986,-0.96729,-1.967290,-19.292524,-0.061,0.183,-0.183,1
2026-05-14T18:00:14.770,1.529,22063960,1017,25.559,-0.00049,-0.10986,-0.97168,-1.971680,-19.335576,-0.061,0.183,-0.183,1
2026-05-14T18:00:14.794,1.553,22089231,1018,25.559,-0.00049,-0.11133,-0.97363,-1.973630,-19.354699,-0.122,0.183,-0.183,1
2026-05-14T18:00:14.818,1.577,22109228,1019,25.559,0.00000,-0.10986,-0.97070,-1.970700,-19.325965,-0.122,0.183,-0.183,1
2026-05-14T18:00:14.831,1.590,22123956,1020,25.543,-0.00098,-0.11035,-0.97070,-1.970700,-19.325965,-0.122,0.183,-0.183,1
2026-05-14T18:00:14.918,1.677,22150227,1021,25.559,-0.00098,-0.11133,-0.97021,-1.970210,-19.321160,-0.183,0.183,-0.122,1
